PLAYER,PLAYER,2009/10,2009/10(*)
1,Tracy McGrady,23239562,32873572
2,Kobe Bryant,23034375,32583325
3,Jermaine O'Neal,23016000,32557332
4,Tim Duncan,22183220,31379321
5,Shaquille O'Neal,20000000,28291043
6,Dirk Nowitzki,19795714,28002070
7,Paul Pierce,19795712,28002067
8,Rashard Lewis,18876000,26701086
9,Ray Allen,18776860,26560847
10,Michael Redd,17040000,24103968
11,Andrei Kirilenko,16452000,23272212
11,Pau Gasol,16452000,23272212
13,Kevin Garnett,16400000,23198655
14,Amare Stoudemire,16378325,23167995
14,Yao Ming,16378325,23167995
16,Vince Carter,16300000,23057200
17,Gilbert Arenas,16192080,22904541
18,Zach Randolph,16000000,22632834
19,Chris Bosh,15779912,22321508
19,Dwyane Wade,15779912,22321508
19,Carmelo Anthony,15779912,22321508
19,LeBron James,15779912,22321508
23,Kenyon Martin,15363636,21732664
24,Dwight Howard,15202590,21504856
25,Joe Johnson,14976754,21185399
26,Elton Brand,14858471,21018082
27,Richard Jefferson,14200000,20086640
28,Larry Hughes,13655268,19316088
29,Carlos Boozer,13520500,19125452
29,Chris Paul,13520500,19125452
31,Predrag Stojakovic,13392000,18943682
32,Jason Richardson,13333333,18860695
33,Steve Nash,13125000,18565997
34,Tony Parker,12600000,17823357
35,Andrew Bynum,12526998,17720092
36,Deron Williams,12323900,17432799
37,Brad Miller,12250000,17328264
38,Andre Iguodala,12200000,17257536
39,Baron Davis,12150000,17186808
40,Erick Dampier,12115500,17138006
41,Chauncey Billups,12100000,17116081
42,Samuel Dalembert,12025694,17010971
43,Al Jefferson,12000000,16974625
44,Tyson Chandler,11850000,16762443
45,Antawn Jamison,11641095,16466936
46,Richard Hamilton,11625000,16444168
47,Zydrunas Ilgauskas,11541074,16325451
48,Troy Murphy,11047619,15627433
49,Monta Ellis,11000000,15560073
50,Josh Howard,10890000,15404473
51,Josh Smith,10800000,15277163
52,Manu Ginobili,10728130,15175499
53,Bobby Simmons,10560000,14937670
54,Emeka Okafor,10538937,14907876
55,Nene,10520000,14881088
56,Eddy Curry,10500423,14853396
57,Chris Kaman,10400000,14711342
58,Luol Deng,10370425,14669507
59,Tayshaun Prince,10324380,14604374
60,Kevin Martin,10180170,14400381
61,Al Harrington,10026875,14183537
62,Andrew Bogut,10000000,14145521
62,Ben Gordon,10000000,14145521
64,Danny Granger,9930500,14047210
65,Jason Terry,9862500,13951020
66,Mike Dunleavy,9780992,13835723
67,Caron Butler,9780970,13835692
68,Mike Miller,9750000,13791883
69,Cuttino Mobley,9500000,13438245
69,Kirk Hinrich,9500000,13438245
71,Earl Watson,9400000,13296790
72,Jamal Crawford,9360000,13240208
73,Quentin Richardson,9352400,13229457
74,David West,9075000,12837060
74,Gerald Wallace,9075000,12837060
76,Mehmet Okur,9000000,12730969
76,Hedo Turkoglu,9000000,12730969
76,Darius Miles,9000000,12730969
76,Andris Biedrins,9000000,12730969
76,Boris Diaw,9000000,12730969
81,Corey Maggette,8937931,12643169
82,Maurice Williams,8860000,12532932
83,Kenny Thomas,8775000,12412695
84,TJ Ford,8500000,12023693
85,Devin Harris,8400000,11882238
86,Jose Calderon,8219009,11626216
87,Jason Kidd,8000000,11316417
88,Mark Blount,7962500,11263371
89,Tim Thomas,7773055,10995391
90,Paul Millsap,7692932,10882053
91,Marcus Camby,7650000,10821324
91,Stephen Jackson,7650000,10821324
93,Andres Nocioni,7500000,10609141
93,Darko Milicic,7500000,10609141
93,Lamar Odom,7500000,10609141
93,Antonio McDyess,7500000,10609140
93,Marvin Williams,7500000,10609141
98,Etan Thomas,7350000,10396958
99,Udonis Haslem,7100000,10043320
99,Marko Jaric,7100000,10043320
101,David Lee,7000000,9901865
102,Shane Battier,6864200,9709768
103,Joel Przybilla,6857725,9700609
104,Brian Cardinal,6750000,9548227
105,Dan Gadzuric,6749260,9547180
106,Andre Miller,6730800,9521067
107,Shawn Marion,6635068,9385649
108,Shareef Abdur-Rahim,6600000,9336044
108,Leandro Barbosa,6600000,9336044
108,Jerome James,6600000,9336044
111,Andrea Bargnani,6527491,9233476
112,Matt Harpring,6500000,9194589
112,Luke Ridnour,6500000,9194589
112,Charlie Villanueva,6500000,9194589
115,Mike James,6466600,9147343
115,Jared Jeffries,6466600,9147343
115,Vladimir Radmanovic,6466600,9147343
115,Nazr Mohammed,6466600,9147343
119,Anderson Varejao,6300000,8911678
120,Tony Battie,6292000,8900362
121,Nick Collison,6250000,8840951
122,Mike Bibby,6217617,8795143
123,Jason Kapono,6212960,8788556
123,Morris Peterson,6212960,8788556
125,Jamaal Tinsley,6190300,8756502
126,Jameer Nelson,6138888,8683777
127,Jeff Foster,6077500,8596940
128,Beno Udrih,6031800,8532295
128,Chris Duhon,6031800,8532295
128,James Posey,6031800,8532295
128,DeSagana Diop,6031800,8532295
132,Brendan Haywood,6000000,8487312
133,Antonio Daniels,5863580,8294339
134,Marcin Gortat,5854000,8280788
134,Metta World Peace,5854000,8280788
134,Trevor Ariza,5854000,8280788
134,Rasheed Wallace,5854000,8280788
138,LaMarcus Aldridge,5844827,8267812
139,Francisco Garcia,5800000,8204402
140,JR Smith,5508426,7791955
141,Raymond Felton,5501196,7781728
142,John Salmons,5456000,7717796
143,Nenad Krstic,5400000,7638581
144,Greg Oden,5361240,7583753
145,Mickael Pietrus,5300000,7497126
146,Adam Morrison,5257229,7436624
147,Raja Bell,5250000,7426398
148,Speedy Claxton,5209454,7369044
149,Derrick Rose,5184480,7333717
150,Kyle Korver,5155115,7292179
151,Rafer Alston,5053133,7147919
152,Derek Fisher,5048000,7140659
153,Sasha Vujacic,5000000,7072760
153,Jason Maxiell,5000000,7072760
155,Blake Griffin,4983480,7049392
156,Louis Williams,4972500,7033860
157,Reggie Evans,4960000,7016178
158,Steve Blake,4930000,6973742
159,Luke Walton,4840000,6846432
160,Kevin Durant,4796880,6785436
161,Zaza Pachulia,4750000,6719122
162,Tyrus Thomas,4743598,6710066
163,Matt Carroll,4700000,6648395
164,Michael Beasley,4638600,6561541
165,Marcus Banks,4553793,6441577
166,Darius Songaila,4526000,6402263
167,Jarrett Jack,4500000,6365484
167,Drew Gooden,4500000,6365484
169,Hasheem Thabeet,4458840,6307261
170,Trenton Hassell,4350000,6153301
171,Martell Webster,4344000,6144814
172,James Jones,4320000,6110865
173,Al Horford,4307640,6093381
174,Delonte West,4254250,6017858
175,Kendrick Perkins,4250000,6011846
176,OJ Mayo,4165560,5892401
177,Ronny Turiaf,4140000,5856245
178,Kwame Brown,4100000,5799663
179,Daniel Gibson,4088500,5783396
180,James Harden,4054160,5734820
181,Brandon Bass,4000000,5658208
181,Travis Outlaw,4000000,5658208
181,Nate Robinson,4000000,5658208
184,Rasual Butler,3945000,5580408
185,Brandon Roy,3910816,5532053
186,Fabricio Oberto,3900000,5516752
187,DeShawn Stevenson,3886928,5498262
188,Mike Conley,3883800,5493837
189,Ryan Gomes,3867500,5470780
190,Kurt Thomas,3800000,5375298
191,Roger Mason,3780000,5347007
192,Russell Westbrook,3755640,5312548
193,CJ Miles,3700000,5233843
194,Steven Hunter,3696000,5228184
195,Willie Green,3682000,5208381
196,Ramon Sessions,3670667,5192349
197,Amir Johnson,3666666,5186690
198,Chris Andersen,3650000,5163115
199,Tyreke Evans,3610080,5106646
200,Charlie Bell,3596000,5086729
201,Randy Foye,3575761,5058100
202,Keyon Dooling,3564000,5041463
203,Jeff Green,3516960,4974923
204,Carlos Delfino,3500000,4950932
204,Brian Cook,3500000,4950932
206,Brian Scalabrine,3413793,4828988
207,Kevin Love,3401040,4810948
208,Luis Scola,3375600,4774962
209,Damien Wilkins,3300000,4668022
210,Rudy Gay,3280997,4641141
211,Matt Bonner,3240380,4583686
212,Marc Gasol,3240000,4583149
213,Kris Humphries,3200000,4526566
214,Yi Jianlian,3194400,4518645
215,Kelenna Azubuike,3132000,4430377
216,Eduardo Najera,3100000,4385111
217,Danilo Gallinari,3089040,4369608
218,Andray Blatche,3000000,4243656
218,Carl Landry,3000000,4243656
218,Grant Hill,3000000,4243656
218,Chris Wilcox,3000000,4243656
218,Hakim Warrick,3000000,4243656
218,Glen Davis,3000000,4243656
224,Jonny Flynn,2969280,4200201
225,Corey Brewer,2916120,4125003
226,Eddie House,2862000,4048448
227,Mark Madsen,2840000,4017328
228,JJ Redick,2839408,4016490
229,Eric Gordon,2819880,3988867
230,Hilton Armstrong,2801198,3962440
231,Thabo Sefolosha,2759628,3903637
232,Aleksandar Pavlovic,2750000,3890018
232,Dorell Wright,2750000,3890018
232,Jamario Moon,2750000,3890018
235,Ronnie Brewer,2717161,3843565
236,Stephen Curry,2710560,3834228
237,Brandan Wright,2671440,3778891
238,Jerry Stackhouse,2668598,3774870
239,Anthony Parker,2644230,3740401
240,Joe Alexander,2583360,3654297
241,Mikki Moore,2537952,3590065
242,Michael Finley,2500000,3536380
242,Craig Smith,2500000,3536380
242,Dahntay Jones,2500000,3536380
242,Sebastian Telfair,2500000,3536380
242,Tony Allen,2500000,3536380
242,Maurice Evans,2500000,3536380
248,Ricky Davis,2484000,3513747
249,Jordan Hill,2483280,3512729
250,Joakim Noah,2455680,3473687
251,Shawne Williams,2416067,3417652
252,DJ Augustin,2385480,3374385
253,Spencer Hawes,2332800,3299867
254,David Andersen,2300000,3253469
255,DeMar DeRozan,2282640,3228913
256,Brook Lopez,2225880,3148623
257,Acie Law,2216160,3134873
258,Ryan Hollins,2183333,3088438
259,Brandon Jennings,2168520,3067484
260,Anthony Johnson,2160000,3055432
261,Jerryd Bayless,2143080,3031498
262,Renaldo Balkman,2112417,2988124
263,Chuck Hayes,2111750,2987180
264,Antoine Wright,2110550,2985483
265,Thaddeus Young,2105400,2978198
266,Ersan Ilyasova,2100000,2970559
267,Rajon Rondo,2094922,2963376
268,Chucky Atkins,2066455,2923107
269,Brent Barry,2062800,2917938
269,Jarvis Hayes,2062800,2917938
271,Terrence Williams,2060040,2914034
272,Josh Boone,2056968,2909688
273,Jason Thompson,2035920,2879915
274,Kyle Lowry,2034997,2878609
275,Julian Wright,2000040,2829160
276,Channing Frye,2000000,2829104
276,Bruce Bowen,2000000,2829104
276,Shannon Brown,2000000,2829104
276,Jannero Pargo,2000000,2829104
280,Radoslav Nesterovic,1990000,2814958
280,Ronald Murray,1990000,2814958
280,Marquis Daniels,1990000,2814958
283,Gerald Henderson,1957080,2768391
284,Jordan Farmar,1947240,2754472
285,Brandon Rush,1934160,2735970
286,Al Thornton,1900200,2687932
287,Sergio Rodriguez,1892035,2676382
288,Mardy Collins,1867742,2642018
289,Tyler Hansbrough,1859160,2629878
290,Anthony Randolph,1837560,2599324
291,Goran Dragic,1836000,2597117
292,Rodney Stuckey,1805040,2553323
293,Earl Clark,1766280,2498495
294,Robin Lopez,1745520,2469129
295,Travis Diener,1740000,2461320
296,Nick Young,1714800,2425674
297,Francisco Elson,1700000,2404738
298,Austin Daye,1677840,2373392
299,Marreese Speights,1658280,2345723
300,JJ Barea,1657500,2344620
301,Sean Williams,1629120,2304475
302,Hamed Haddadi,1627779,2302578
303,Patrick O'Bryant,1620000,2291574
303,Solomon Jones,1620000,2291574
305,Matt Barnes,1600000,2263283
305,Devean George,1600000,2263283
307,James Johnson,1594080,2254909
308,Roy Hibbert,1575360,2228428
309,Marco Belinelli,1547640,2189217
309,Oleksiy Pecherov,1547640,2189217
311,Jrue Holiday,1514280,2142028
312,JaVale McGee,1496640,2117075
313,Javaris Crittenton,1477920,2090594
314,Ty Lawson,1438690,2035102
315,JJ Hickson,1429200,2021677
316,Jason Smith,1418880,2007079
317,Jeff Teague,1373880,1943424
318,Alexis Ajinca,1372080,1940878
319,Daequan Cook,1362120,1926789
320,Eric Maynor,1318920,1865681
321,Ryan Anderson,1317120,1863134
322,Jared Dudley,1307640,1849724
323,Juwan Howard,1306455,1848048
323,Jason Williams,1306455,1848048
323,Adonal Foyle,1306455,1848048
323,Kevin Ollie,1306455,1848048
323,Brian Skinner,1306455,1848048
323,Anthony Carter,1306455,1848048
323,Lindsey Hunter,1306455,1848048
323,Theo Ratliff,1306455,1848048
323,Joe Smith,1306455,1848048
332,Ben Wallace,1306445,1848034
333,Malik Allen,1300000,1838917
334,Darren Collison,1266120,1790992
335,Courtney Lee,1264440,1788616
336,Wilson Chandler,1255440,1775885
337,Ronnie Price,1250000,1768190
338,Jamaal Magloire,1229225,1738802
339,Kosta Koufos,1214040,1717322
340,Earl Boykins,1191180,1684986
340,Allen Iverson,1191180,1684985
342,Sean Marks,1187686,1680043
343,Jarron Collins,1181803,1671721
343,Jason Collins,1181803,1671721
345,Omri Casspi,1167000,1650782
346,Rudy Fernandez,1165320,1648405
347,BJ Mullens,1120200,1584581
347,Serge Ibaka,1120200,1584581
349,Nicolas Batum,1118760,1582544
350,Aaron Brooks,1118520,1582204
351,Primoz Brezec,1107572,1566718
351,Carlos Arroyo,1107572,1566718
353,Devin Brown,1100000,1556007
354,Arron Afflalo,1086240,1536543
355,George Hill,1081680,1530092
356,Ian Mahinmi,1079640,1527207
357,Rodrigue Beaubois,1075440,1521265
358,Alando Tucker,1071720,1516003
359,Chris Quinn,1055000,1492352
360,Darrell Arthur,1050480,1485958
361,Royal Ivey,1050000,1485279
362,Donte Greene,1044000,1476792
363,Taj Gibson,1039800,1470851
364,DJ White,1036440,1466098
365,Quinton Ross,1033342,1461716
365,Keith Bogans,1033342,1461716
367,James Singleton,1030189,1457256
368,JR Giddens,1028880,1455404
369,DeMarre Carroll,1009680,1428245
370,Wayne Ellington,1003560,1419587
371,Aaron Gray,1000497,1415255
371,CJ Watson,1000497,1415255
373,Greg Buckner,1000000,1414552
374,Toney Douglas,996240,1409233
375,Didier Ilunga-Mbenga,959111,1356712
375,Josh Powell,959111,1356712
377,Yakhouba Diawara,945000,1336751
378,Sean May,884881,1251710
378,Ike Diogu,884881,1251710
378,Luther Head,884881,1251710
378,Johan Petro,884881,1251710
378,Joey Graham,884881,1251710
378,Stephen Graham,884881,1251710
384,Joey Dorsey,881000,1246220
385,Kyle Weaver,870968,1232029
386,Kyrylo Fesenko,870000,1230660
387,Louis Amundson,855189,1209709
387,Rodney Carney,855189,1209709
387,Marcus Williams,855189,1209709
387,Steve Novak,855189,1209709
387,Leon Powe,855189,1209709
387,Randolph Morris,855189,1209709
393,DeJuan Blair,850000,1202369
394,Ime Udoka,838034,1185442
395,Marcus Haislip,825497,1167708
395,Dominic McGuire,825497,1167708
395,Joel Anthony,825497,1167708
395,Josh McRoberts,825497,1167708
395,Will Bynum,825497,1167708
395,Shelden Williams,825497,1167708
401,Sam Young,824200,1165873
402,Jonathan Bender,801361,1133566
403,Mario Chalmers,773500,1094156
404,Sonny Weems,736420,1041704
404,Malik Hairston,736420,1041704
404,Henry Walker,736420,1041704
404,Nathan Jawai,736420,1041704
404,Luc Mbah a Moute,736420,1041704
404,Bobby Brown,736420,1041704
404,DeAndre Jordan,736420,1041704
404,Anthony Morrow,736420,1041704
404,Jawad Williams,736420,1041704
404,Darnell Jackson,736420,1041704
414,Chris Douglas-Roberts,736000,1041110
415,Jermaine Taylor,725000,1025550
416,Jodie Meeks,650000,919458
417,Chris Hunter,632455,894640
418,Kareem Rush,534906,756652
419,Jason Hart,521384,737524
420,Marcus Thornton,457888,647706
421,Wesley Matthews,457588,647282
421,Jon Brockman,457588,647282
421,Patrick Mills,457588,647282
421,Jeff Ayres,457588,647282
421,Dante Cunningham,457588,647282
421,Taylor Griffin,457588,647282
421,AJ Price,457588,647282
421,Chase Budinger,457588,647282
421,DaJuan Summers,457588,647282
421,Jonas Jerebko,457588,647282
421,Danny Green,457588,647282
421,Derrick Brown,457588,647282
421,Marcus Landry,457588,647282
434,Mario West,446740,631937
435,Anthony Tolliver,411529,582128
436,Lester Hudson,392987,555900
437,Coby Karl,355215,502469
438,Shavlik Randolph,343542,485957
439,Pops Mensah-Bonsu,330199,467083
440,Othello Hunter,307564,435065
441,Roko Ukic,303232,428937
442,Shaun Livingston,296695,419690
443,Sundiata Gaines,269169,380753
444,Ryan Bowen,209592,296478
445,Garrett Temple,180344,255105
446,Mike Wilks,175908,248831
447,Antonio Anderson,139968,197992
448,Cartier Martin,86638,122553
449,Quincy Douby,85519,120971
450,Paul Davis,80488,113854
451,Desmond Mason,76850,108708
452,Mike Harris,64978,91914
453,Cedric Jackson,53834,76151
454,Will Conroy,48559,68689
455,Chris Richard,43319,61276
456,JamesOn Curry,26917,38075
